Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,50.331,55.841,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,71.836,73.955,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,66.938,70.64,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,45.306,46.522,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,71.52,73.94,75.823,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,71.594,73.576,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,67.879,71.409,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.468,73.787,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,76.99463415,79.23414634,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,75.56829268,78.12682927,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.64390244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,64.827,66.763,70.938,71.234,71.506,71.768,72.022,72.266,72.493,72.693,72.864,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,70.199,71.914,72.144,72.263,72.424,72.62,72.847,73.088,73.329,73.554,73.752,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,72.39,74.44,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,58.21,65.447,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,74.704,77.162,78.364,78.456,78.547,78.633,78.717,78.801,78.888,78.981,79.081,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,70.83658537,68.91219512,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,76.05195122,77.72195122,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,71.242,68.847,72.057,72.57,73.044,73.452,73.782,74.034,74.219,74.365,74.496,..
